question,answer
"What is the process for ID cards and access tags?","All helpers receive color-coded ID cards:
 🟢 Domestic Helper/Maid/Cook
 🔵 Driver/Personal Assistant
 🟣 Caretaker/Babysitter
 ID must be worn at all times. Lost cards lead to temporary suspension until reissued."
"What is the gate entry process for helpers?","Helpers must use the main gate only. Security verifies ID via MyGate or biometric terminal, logs entry time, and issues daily passes if needed. Access is denied if ID is missing or deactivated."
"How do helpers access the towers or lobbies?","Helpers must call the flat using the intercom at the tower lobby. Access is granted only after resident approval. Tailgating or forced entry is strictly prohibited."
"What is the exit procedure for domestic helpers?","Helpers must exit through the same gate, log out in MyGate/biometric system, and undergo security verification to ensure no unauthorized items are carried."
"What are the working hours for helpers and staff?","• Maids/Cooks: 6:00 AM – 8:00 PM
 • Drivers: As per resident schedule
 • Caretakers/Babysitters: As required by resident
 • Overnight helpers: Only with written permission and full verification."
"Are domestic helpers allowed in common areas or amenities?","No. Loitering or accessing other flats, clubhouse, corridors, or parking areas without permission is prohibited."
"What behavior is expected from domestic helpers?","Helpers must be respectful, punctual, hygienic, and polite. They must use designated toilets, report issues immediately, and avoid mobile phone usage in public areas."
"What actions are strictly prohibited for domestic helpers?","Theft, arguments, entering flats without permission, using resident facilities, smoking, drinking, bringing guests, or sleeping in common areas are strictly banned."
"What happens if a helper violates the rules or commits theft?","The helper’s access will be suspended immediately. Repeat or serious offenses lead to blacklisting and police intimation."
"What are residents’ responsibilities in this SOP?","Residents must register helpers before employment, deactivate them upon termination, avoid hiring unverified staff, and report misconduct to security or FM."
"What to do in case of an emergency or dispute involving a helper?","Security should inform the Facility Manager and Secretary. All incidents must be recorded, and serious cases (like theft or assault) should be escalated to the police."
"What are the key Do’s and Don’ts for domestic helpers?","✅ Do’s: Always wear ID, use service gate, report absences, and respect residents.
 🚫 Don’ts: Don’t share ID, loiter, bring guests, or use resident property."
"How are issues or complaints about domestic helpers handled?","• No ID or denial of verification – Report to Security Supervisor.
 • Misconduct – Escalate to Facility Manager.
 • Theft/Serious incident – Report to Secretary or President for police action."
"How are records of domestic helpers maintained?","Records include helper register, biometric/MyGate logs, incident register, and blacklist. Records are kept for at least 2 years."
"Who is accountable for enforcing this SOP?","• Security Guards – Control gate access.
 • Facility Manager – Handle registration and documentation.
 • Residents – Employ only verified staff.
 • Secretary – Oversee compliance.
 • Board – Manage disciplinary actions."
"What is the purpose of the Emergency Contact & Security Escalation Tree SOP?","The SOP establishes a structured system for emergency response and escalation to ensure quick, efficient, and coordinated handling of incidents affecting safety, security, or well-being within The ACE Apartments."
"Who does this SOP apply to?","It applies to all security guards, supervisors, UPS Facility Management staff, residents, association office bearers, and service vendors during any emergency situation such as fire, theft, accident, or natural disaster."
"What are the main objectives of this SOP?","To ensure every staff member knows who to contact during emergencies, to minimize delays, maintain 24×7 readiness, and ensure escalation reaches decision-makers quickly."
"What are the general principles of emergency escalation?","• Incidents must be reported immediately to the next level.
 • No incident is closed until acknowledged by the Facility Manager.
 • All staff must carry the Emergency Contact Card.
 • Contact numbers must be displayed in all key locations."
"What is the structure of the Security Escalation Tree?","It is a 4-Level Chain of Command:
 • Level 1 – On-Ground Team (Security Guard, Supervisor, UPS Helpdesk)
 • Level 2 – Facility Management Response (Facility Manager, Technical Staff)
 • Level 3 – Association Leadership (Secretary, President, Treasurer)
 • Level 4 – External Agencies (Police, Ambulance, Fire Dept, etc.)"
"Who should be contacted first during an emergency?","The nearest Security Guard or Security Supervisor must be informed first (Level 1). They are trained to assess the situation and escalate immediately to the Facility Manager."
"What are the types of emergencies covered under this SOP?","Fire, smoke, theft, trespassing, medical emergencies, electrical short circuits, plumbing leaks, lift malfunctions, structural issues, resident disputes, and natural disasters."
"What is the escalation process for a fire or smoke incident?","Security Guard → Security Supervisor → Facility Manager → Fire Department / President."
"How are theft or trespassing incidents handled?","Security Guard reports to Supervisor and Facility Manager, who escalates to Police and Secretary immediately."
"Who manages medical emergencies inside the premises?","Security Guard alerts the Facility Manager, who contacts an ambulance and the resident’s family. Emergency numbers like 108 are displayed at all critical points."
"What is the communication protocol during emergencies?","All calls must be brief and factual. Each contact must record the time, nature of incident, and actions taken. The Facility Manager verifies and records it in the Emergency Logbook the next working day."
"Who are the key responsible persons during an emergency?","• Security Guard – Secure area, assist victims.
 • Security Supervisor – Coordinate response and escalation.
 • Facility Manager – Manage incident and communication.
 • Secretary – Review and authorize communication.
 • President – Approve escalation to authorities."
"Where are emergency contact numbers displayed?","At main gate security cabins, tower lobbies, facility office, clubhouse, pool area, and notice boards. A QR code for digital emergency directory (via MyGate) is also provided."
"What should staff and residents do during an emergency?","✅ Do’s: Stay calm, report promptly, follow the escalation tree, and prioritize life safety.
 🚫 Don’ts: Don’t panic, skip escalation levels, or take unauthorized photos/videos."
"What type of training is provided to staff for emergency handling?","Quarterly mock drills, fire and medical response training every 6 months, and emergency contact recall exercises are conducted."
"How is the SOP reviewed and audited?","The Facility Manager maintains incident and contact records. The Secretary reviews updates quarterly, and the Board conducts an annual safety audit."
"Who is accountable for ensuring compliance to this SOP?","• Security Supervisor – For initial reporting accuracy.
 • Facility Manager – For coordination and follow-up.
 • Secretary – For oversight.
 • President/Board – For decision-making and external escalations."
"What is the purpose of the Emergency Evacuation Plan SOP?","The SOP ensures that all residents, visitors, and staff can be safely and efficiently evacuated during any emergency such as fire, earthquake, flood, or gas leak. It aims to minimize confusion, injury, and property damage."
"Who does this SOP apply to?","This SOP applies to all residents, visitors, UPS Facility Management staff, vendors, contractors, and the entire property including towers, basements, and amenities."
"What are the objectives of this SOP?","To ensure life safety, define clear evacuation steps, assign roles to key personnel, and conduct regular safety drills."
"Who are the key personnel during an evacuation?","• Facility Manager – Incident Commander leading overall response.
 • Security Supervisor – Evacuation Coordinator managing exits and assembly.
 • Security Guards – Floor Wardens assisting residents.
 • Maintenance Team – Handles utilities and technical support.
 • Secretary/President – Oversee and communicate with authorities."
"What emergencies are covered under this SOP?","The plan covers Fire, Earthquake, Flooding, Gas Leak, Electrical Short Circuit, Structural Damage, Medical Emergency, and Security Threats."
"What are the general steps in an evacuation?","1️⃣ **Alarm Activation** – Alert Security or press the nearest Manual Call Point.
 2️⃣ **Emergency Team Activation** – FM activates the Emergency Response Team.
 3️⃣ **Resident Evacuation** – Use staircases, assist others, follow exit signs.
 4️⃣ **Roll Call** – Security conducts headcount at assembly point.
 5️⃣ **Post-Control** – No one re-enters until FM and Fire Dept clearance."
"What should I do if there is a fire or smoke?","Trigger the fire alarm, disable lifts, close doors (don’t lock), and evacuate calmly using stairs. Security will meet the fire truck at the gate."
"How should residents act during an earthquake?","Stay indoors until tremors stop, take cover under furniture, avoid windows, then evacuate calmly using stairs. Do not use lifts or run."
"What steps are taken during flooding or waterlogging?","Facility team switches off power in basements, restricts entry to flooded zones, and residents move to higher floors until cleared."
"What are the safety measures for a gas leak?","Do not switch lights or appliances on/off. Open doors and windows, evacuate, and inform Security or Facility Manager immediately."
"What should I do in case of a medical emergency?","Call Security or FM immediately. They will alert an ambulance (108) and direct it to your tower. First aid will be provided until medical help arrives."
"Where are the Assembly Points located?","Assembly points are:
 • Tower A – Open Ground near Main Gate
 • Tower B – Garden Lawn (rear side)
 • Tower C – Security Parking Bay
 • Clubhouse – Open Lawn
 • Basement – Ramp Exit. These areas are marked and kept free from obstacles."
"How are residents alerted during an emergency?","Through Fire Alarms, Intercom/PA announcements, MyGate app alerts, walkie-talkies, and WhatsApp group updates managed by the Facility Office."
"How often are evacuation drills conducted?","Mock evacuation drills are conducted every 6 months, staff training every quarter, and resident awareness sessions twice yearly."
"What kind of signage is used for evacuation guidance?","Exit routes, assembly points, and stair directions use photoluminescent or illuminated signs with English and Tamil instructions. Maps are displayed at lift lobbies."
"What should residents do and avoid during evacuation?","✅ Do’s: Stay calm, follow instructions, use stairs, assist others, move to assembly point, and participate in drills.
 🚫 Don’ts: Don’t use lifts, don’t collect belongings, don’t block exits, or spread panic."
"What happens after evacuation is complete?","Facility Manager confirms everyone is safe, Security controls perimeter, FM records incident details, and a post-incident review is held within 48 hours."
"Who should I contact during an emergency?","• Fire/Smoke – Security Guard → FM → Fire Dept (101)
 • Earthquake – FM → Secretary → NDRF/Police
 • Gas Leak – FM → President → Fire Dept/Gas Supplier
 • Medical – Security → FM/Secretary → Ambulance (108)."
"What records are maintained for evacuation and drills?","Drill reports, incident logs, resident roll calls, fire department certificates, and contact update sheets are stored for 2 years."
"Who is accountable for ensuring evacuation readiness?","• Security Guards – Trigger alarms and assist evacuation.
 • Facility Manager – Lead coordination and maintain records.
 • Secretary – Review compliance.
 • President/Board – Supervise and communicate externally."
"What is the purpose of the Fire Safety & Evacuation SOP?","The SOP defines systematic fire prevention, response, and evacuation procedures to ensure resident and staff safety while complying with statutory fire safety norms and government regulations."
"Who does this SOP apply to?","It applies to all towers, clubhouses, basements, and common areas, including residents, visitors, security, facility staff, and authorized vendors responsible for fire systems maintenance."
"What are the main objectives of this SOP?","• Prevent and minimize fire-related risks.
 • Enable immediate and coordinated evacuation during emergencies.
 • Ensure all occupants are trained to respond effectively.
 • Comply with mandated fire audits and recordkeeping."
"Who is responsible for maintaining fire safety equipment?","The UPS Facility Manager ensures all fire systems (hydrants, alarms, extinguishers) are functional. The Fire Safety Vendor conducts regular inspections and provides certification. Security staff assists during drills and emergencies."
"What fire safety systems are installed in The ACE Apartments?","Key systems include Fire Alarm Panels, Smoke Detectors, Hydrants, Hose Reels, Fire Extinguishers, Exit Lights, Emergency Lights, Fireman’s Intercom, Fire Doors, and Diesel Generators. Each has scheduled inspection frequencies for maintenance."
"What are the different types of fires and their appropriate extinguishers?","• Class A – Solid materials (wood, cloth): Use Water/Foam/ABC Extinguisher.
 • Class B – Liquids (petrol, oil): Use CO₂/Foam Extinguisher.
 • Class C – Gas/Electrical: Use CO₂/Dry Powder.
 • Class D – Metals: Use Special Dry Powder."
"What should I do if I discover a fire?","1️⃣ Stay calm and shout 'FIRE!'.
 2️⃣ Activate the nearest manual call point (MCP).
 3️⃣ Inform the Security Control Room.
 4️⃣ Use a nearby extinguisher only if safe.
 5️⃣ Evacuate immediately using stairs, not lifts.
 6️⃣ Security will call Fire Dept (101), Facility Manager, and Secretary."
"What are the responsibilities of the Security and Facility Teams during a fire?","• Sound alarms and initiate evacuation announcements.
 • Disable lifts and guide floor-wise evacuation.
 • Facility Manager coordinates with fire services and isolates power supply.
 • Technicians assist with hydrant operations."
"What should residents do during a fire?","Residents should use the nearest fire exit, avoid lifts, crawl under smoke, close doors behind them, and move to the designated Assembly Point. Assist elderly and differently abled individuals."
"What happens after the fire is controlled?","The Facility Manager and Fire Dept inspect for damage, document the incident, and report to the Association Board. Root causes and preventive actions are discussed and implemented."
"What are the evacuation routes and assembly points?","• Tower A – Main Lobby → Open Ground
 • Tower B – Rear Staircase → Garden Area
 • Tower C – Side Staircase → Security Parking Lot
 • Clubhouse – Front Exit → Lawn
 • Basement – Emergency Staircase → East Ramp."
"How often are fire drills conducted?","Mock fire drills are held every 6 months. Training includes extinguisher use, alarm operation, evacuation awareness, and CPR basics. All staff participation is mandatory."
"What are important Do’s and Don’ts for fire safety?","✅ Do’s: Keep exits clear, report faults, clean exhaust ducts, use approved fittings, and participate in drills.
 🚫 Don’ts: Don’t block staircases, overload circuits, store flammable items, or use lifts during fire."
"What documentation is maintained for fire safety compliance?","The Facility Office maintains Fire License, Annual Inspection Certificate, AMC certificates, drill reports, alarm test records, and incident reports."
"What is the escalation process during fire or related emergencies?","• Fire/Smoke – Security Guard → FM → Secretary/President → Fire Dept (101)
 • Gas Leak – FM → Maintenance → Fire Dept
 • Electrical Fire – FM → Electrical Team → EB Dept
 • Injury – FM → Secretary → Ambulance (108)."
"What signage is displayed for fire safety?","‘Fire Exit’, ‘Do Not Use Lift in Case of Fire’, and ‘Assembly Point’ signs are displayed in lift lobbies, clubhouses, basements, and security areas, along with fire evacuation maps."
"Who is accountable for fire safety management?","• Security Supervisor – Sound alarms and guide evacuation.
 • Facility Manager – Lead emergency coordination.
 • Fire Safety Vendor – Maintain systems and drills.
 • Secretary – Approve compliance.
 • President/Board – Escalate to authorities."
"What is the purpose of the First Aid & AED SOP?","The SOP ensures that First Aid Kits and Automated External Defibrillators (AEDs) are readily available, functional, and accessible across The ACE Apartments to provide immediate medical assistance during minor injuries or life-threatening emergencies."
"Who does this SOP apply to?","It applies to all security, facility, and housekeeping teams, residents, guests, and domestic staff within the community, covering all common areas like clubhouse, pool, gym, and basements."
"What are the main objectives of this SOP?","• Provide immediate aid during medical emergencies.
 • Ensure all kits and AEDs are properly placed and maintained.
 • Train designated staff in First Aid, CPR, and AED use.
 • Maintain proper documentation and compliance."
"Who is responsible for managing First Aid Kits and AEDs?","• UPS Facility Manager – Oversees overall management, training, and maintenance.
 • Security Supervisor – Provides access and coordinates emergency response.
 • Housekeeping Supervisor – Ensures kits are visible, clean, and stocked.
 • Trained First Aid Responders – Provide immediate assistance.
 • Secretary/President – Approve training and compliance audits."
"Where are First Aid Kits and AEDs located in the premises?","• Main Security Cabin – Full Kit + AED
 • Clubhouse Reception – First Aid + AED
 • Gym/Pool Area – Sports First Aid Kit
 • Basement Maintenance Room – Industrial Kit
 • Association Office – Complete Kit
 • Each Tower Lobby – Mini First Aid Kit (near Fire Hose Reel)."
"What are the essential items inside each First Aid Kit?","Each kit includes sterile gauze pads, adhesive bandages, antiseptic lotion, burn cream, cotton, gloves, ORS, painkillers, splint sticks, CPR mask, thermometer, and an emergency contact card."
"What does an AED (Automated External Defibrillator) contain?","Each AED comes with a charged battery, electrode pads for adult and child, an instruction manual, a visual guide, and a maintenance/test log."
"What should I do when a medical emergency occurs?","1️⃣ Identify and assess the situation.
 2️⃣ Inform Security Control Room immediately.
 3️⃣ Access the nearest First Aid Kit or AED.
 4️⃣ Trained responder provides aid or uses AED.
 5️⃣ Call Ambulance (108) and inform resident’s family.
 6️⃣ Keep route clear for medical responders."
"How should the AED be used in a cardiac arrest?","• Switch ON the AED.
 • Follow voice instructions.
 • Attach electrode pads to the patient’s bare chest.
 • Ensure everyone stands clear.
 • Press the shock button if advised.
 • Continue CPR as guided by AED prompts."
"What actions should be taken after a First Aid or AED use?","The Facility Manager must refill used items within 24 hours, inspect the AED, record the incident in the logbook, and submit a report to the Secretary within 48 hours."
"How often are the kits and AEDs inspected or maintained?","• First Aid Kit Stock Check – Monthly
 • AED Function Test – Monthly
 • Medicine Replacement – Quarterly
 • Staff Training – Semi-Annual
 • Fire Drill Integration – Bi-Annual"
"Who provides training for First Aid and AED operation?","Certified agencies like the Red Cross or authorized medical providers conduct hands-on training every 6 months for all security, facility, and clubhouse staff."
"What are the key Do’s and Don’ts for First Aid and AED usage?","✅ Do’s: Keep kits accessible, wear gloves, record all usage, call ambulance, and assist calmly.
 🚫 Don’ts: Don’t move injured persons with fractures, give prescription medicine, or delay medical help."
"What types of records are maintained for First Aid and AED use?","Records include First Aid Register, AED Test Log, Training Register, and Refill Log—all preserved for at least 2 years."
"Who should be contacted during different types of medical emergencies?","• Minor Injury – Security Guard → FM
 • Major Injury – FM → Secretary → Hospital
 • Cardiac Arrest – Trained Responder → FM → Ambulance (108)
 • AED Malfunction – FM → Vendor
 • Serious Casualty – FM → President → Police."
"How often are audits and reviews conducted?","Monthly verification, quarterly health & safety audits, and annual reviews are conducted by the Facility Manager and Association Board. Mock drills are integrated with fire evacuation exercises."
"Who is accountable for ensuring First Aid & AED readiness?","• Facility Manager – Maintenance & Readiness
 • Security Supervisor – On-ground emergency response
 • Trained Responders – Provide immediate care
 • Secretary – Documentation and oversight
 • President/Board – Policy approval and escalation."
"What is the purpose of the General Maintenance SOP?","The SOP defines a transparent and OTP-verified process for reporting and resolving all maintenance and DLP-related issues at The ACE Apartments, ensuring timely resolution and accountability."
"Who does this SOP apply to?","It applies to all residents, the UPS Facility Management Team, and the Builder (M/s. Risland) for issues such as plumbing, electrical, common area maintenance, DLP defects, and emergencies."
"How can I raise a maintenance complaint?","Residents can raise tickets through:
 • MyGate App → Helpdesk → Raise Ticket
 • Email: theace.helpdesk@upsfm.com
 • Phone: +91 89259 14906 (24×7 Helpdesk)."
"What is the ticket lifecycle process?","1️⃣ Resident raises a complaint via MyGate.
 2️⃣ Ticket auto-assigned to technician/facility manager.
 3️⃣ Helpdesk acknowledges within 2 hours.
 4️⃣ Work scheduled and completed by technician.
 5️⃣ Resident verifies via OTP before closure.
 6️⃣ Ticket marked closed after OTP validation."
"What are the standard resolution timelines?","• Minor Issues (tap leak, bulb): 24 hrs
 • Moderate Issues (motor, pump): 48 hrs
 • Vendor-linked / AMC: 3–5 days
 • DLP / Builder-related: 7–15 working days."
"What should I do if my issue is not resolved in time?","Escalate as per the following levels:
 • Level 1 – UPS Helpdesk: 📞 89259 14906
 • Level 2 – Assistant Facility Manager: 📞 89259 14907 / theace.afm@upsfm.com
 • Level 3 – Facility Manager: 📞 89259 14910 / theace.fm@upsfm.com
 • Level 4 – Key Account Manager (UPS): prabhu.j@upsfm.com
 Always copy support@aceapartment.org for TAAOWA tracking."
"How are builder-related (DLP) issues handled?","Builder-related issues such as waterproofing, structural or plumbing faults must be reported to Risland’s Technical Team:
 • Level 1 – Krishna Kumar (📞 98413 34405 / vkrishnakumar@risland.com)
 • Level 2 – Arun K. (📞 95732 93292 / arun.k@risland.com)
 • Level 3 – ACE Legal (acelegal@risland.com)
 • Level 4 – UPS FM + Secretary
 • Level 5 – President / Board"
"Can UPS FM repair DLP (builder warranty) issues?","No. UPS FM cannot modify or repair items covered under the builder’s DLP warranty. Residents must report these directly to the Builder’s Technical Team to avoid warranty void."
"How does the OTP validation process work?","Once work is done, residents receive an OTP on their registered mobile number. The technician enters this OTP into the MyGate app for closure. Tickets without OTP remain pending, and escalations auto-trigger after 24 hours."
"What kind of reports are shared by the Facility Team?","• Weekly ticket summary by UPS Facility Manager.
 • Monthly dashboard to TAAOWA Secretary & President.
 • Monthly DLP tracker to Builder/Risland.
 • Major outages broadcasted via MyGate notices."
"How long are maintenance records stored?","All ticket records, OTP logs, and photos are retained digitally for 3 years. DLP-related records are maintained until DLP expiry plus one additional year."
"What are the key Do’s for residents regarding maintenance?","✅ Do’s:
 • Always raise complaints via MyGate/Helpdesk.
 • Attach photos/videos for clarity.
 • Verify work before sharing OTP.
 • Provide feedback post-closure.
 • Escalate politely if unresolved."
"What are the important Don’ts for residents?","🚫 Don’ts:
 • Don’t call technicians directly.
 • Don’t share OTP before confirming work quality.
 • Don’t close tickets prematurely.
 • Don’t let UPS FM repair DLP-covered issues.
 • Don’t use harsh language or modify fixtures yourself."
"Who is accountable for maintenance service delivery?","• UPS FM Team – Handles service delivery and reporting.
 • TAAOWA Secretary – Oversees operations and escalations.
 • TAAOWA President – Coordinates builder interactions.
 • Builder (Risland) – Repairs DLP defects.
 • Residents – Report issues timely and verify closures."
"What is the purpose of the Housekeeping SOP?","This SOP ensures a clean, hygienic, and pleasant environment across all common areas of The ACE Apartments, maintaining compliance with health, safety, and environmental standards."
"Who does this SOP apply to?","It applies to housekeeping staff and supervisors under the UPS Facility Management Team, the Facility Manager, and all residents who must cooperate in maintaining cleanliness and waste segregation."
"What are common areas as per this SOP?","Common areas include lobbies, corridors, staircases, basements, lifts, parking, clubhouse, garden, walkways, and external amenities."
"What are high-touch areas and how are they maintained?","High-touch areas such as lift buttons, door handles, and handrails are disinfected daily to prevent infection spread."
"What are the key responsibilities of housekeeping staff and management?","• Housekeeping Staff – Execute daily and scheduled cleaning tasks, wear uniforms, and maintain discipline.
 • Housekeeping Supervisor – Manage duty rosters, checklists, and inspect all areas.
 • Facility Manager – Ensure manpower, stock, and quality compliance.
 • Secretary/President – Oversee performance and approve audits."
"What is the cleaning frequency for different areas?","• **Daily:** Sweeping/mopping lobbies, corridors, lifts, and restrooms; garbage collection before 10 AM.
 • **Weekly:** Deep cleaning basements, glass cleaning, and external walkways.
 • **Monthly:** Pest control, terrace/sump cleaning, and machine scrubbing.
 • **Event/Emergency:** Additional manpower for festivals or spills."
"What is the process for waste collection and segregation?","Waste must be separated as:
 • Green – Wet waste
 • Blue – Dry recyclables
 • Black – Hazardous/medical
 Collected before 10 AM and disposed of before 11 AM at authorized points. Bins must be disinfected daily."
"What chemicals and cleaning agents are used?","Only eco-friendly, non-acidic cleaning agents are used. All chemicals are stored in locked rooms with labels and MSDS sheets. No mixing of acids or bleaches is allowed."
"What are the hygiene and safety rules for housekeeping staff?","Staff must wear uniforms, gloves, masks, and shoes, undergo medical checks every 6 months, and follow safety training quarterly. Personal phone usage during duty is restricted."
"What is the escalation process for housekeeping issues?","• Level 1 – Supervisor: Unclean areas or pending tasks (Immediate)
 • Level 2 – Facility Manager: Negligence or absenteeism (Within 24 hrs)
 • Level 3 – Secretary: Vendor manpower or quality issue (Within 48 hrs)
 • Level 4 – President/Board: Budget or contract deviation (Within 7 days)."
